"Date & Time","use [kW]","gen [kW]","Register 1 [kW]","Register 2 [kW]","Register 3 [kW]","Register 4 [kW]","Register 5 [kW]","Register 6 [kW]","Register 7 [kW]","Register 8 [kW]","Register 9 [kW]","Register 10 [kW]","Register 11 [kW]","Register 12 [kW]","Solar [kW]"
2019-03-26 17:00:00,482.622873333,100.470356667,23.078176667,10.435453333,20.192476667,36.258773333,14.983256667,22.959956667,90.938233333,96.821316667,92.739523333,27.820923333,29.041583333,17.353200000,100.470356667
2019-03-26 16:55:00,490.375906667,103.474113333,22.485163333,8.727976667,19.404970000,35.425170000,13.885956667,21.919526667,94.938566667,100.843063333,97.158476667,27.078240000,29.977260000,18.531536667,103.474113333
2019-03-26 16:50:00,481.783370000,104.900063333,22.309390000,9.133763333,19.615940000,34.892783333,12.848580000,20.713540000,96.767730000,102.753670000,98.620360000,22.510083333,26.552973333,15.064556667,104.900063333
2019-03-26 16:45:00,488.972156667,107.011960000,22.572716667,10.050043333,21.134506667,35.030840000,13.192013333,20.782230000,96.983720000,103.577443333,99.571043333,23.003450000,24.875536667,18.198613333,107.011960000
2019-03-26 16:40:00,464.658583333,109.039520000,21.103510000,8.307566667,20.031986667,34.967106667,13.277863333,20.797150000,91.098360000,97.586973333,93.180486667,24.528760000,25.135180000,14.643640000,109.039520000
2019-03-26 16:35:00,348.556070000,105.604703333,21.069070000,9.207900000,20.635253333,34.678806667,13.422450000,21.231596667,52.776970000,54.365856667,47.748186667,27.655346667,27.915820000,17.848813333,105.604703333
2019-03-26 16:30:00,339.549950000,110.750540000,23.783386667,12.387106667,23.151693333,34.686066667,13.580223333,21.735356667,47.558406667,48.762303333,41.383500000,27.387993333,27.453573333,17.680340000,110.750540000
2019-03-26 16:25:00,325.164716667,111.100393333,24.302416667,11.890206667,23.245060000,33.641826667,12.872370000,20.956126667,47.764910000,48.450276667,41.555646667,22.908796667,23.622880000,13.954200000,111.100393333
2019-03-26 16:20:00,317.533626667,113.745363333,20.905916667,8.748316667,19.977163333,33.254800000,12.395253333,20.527183333,47.621356667,48.451706667,41.449333333,24.868066667,24.267353333,15.067176667,113.745363333
2019-03-26 16:15:00,467.549246667,113.525160000,20.390493333,7.446736667,19.093130000,35.281393333,14.163033333,22.069096667,91.003320000,96.268813333,92.728056667,27.638823333,25.549570000,15.916780000,113.525160000
2019-03-26 16:10:00,472.032666667,114.430653333,20.626726667,7.757183333,19.094236667,34.361903333,13.253570000,20.695123333,95.411176667,101.426666667,97.298516667,24.976116667,23.547420000,13.584026667,114.430653333
2019-03-26 16:05:00,479.458250000,116.441646667,20.286920000,8.070703333,19.232083333,40.555760000,19.822260000,27.390143333,92.649850000,98.638133333,94.786606667,22.505246667,22.523836667,12.996706667,116.441646667
2019-03-26 16:00:00,470.545926667,114.532846667,37.249483333,29.979110000,38.556963333,42.278893333,21.210796667,29.460843333,69.341270000,72.903826667,68.071793333,24.539730000,23.126936667,13.826280000,114.532846667
2019-03-26 15:55:00,366.658600000,114.640360000,43.459150000,37.828003333,45.325616667,40.488680000,19.212960000,29.752003333,30.815913333,30.113530000,22.777953333,25.500003333,25.290163333,16.094623333,114.640360000
2019-03-26 15:50:00,398.369193333,121.303123333,42.194253333,36.425456667,43.990873333,53.213033333,32.751090000,44.705616667,27.478573333,26.389006667,19.174016667,26.693363333,27.418116667,17.935793333,121.303123333
2019-03-26 15:45:00,427.553560000,120.446453333,36.910253333,29.804583333,38.547633333,66.913366667,50.157043333,60.553600000,27.586036667,27.082713333,19.897440000,25.634893333,27.576190000,16.889806667,120.446453333
2019-03-26 15:40:00,290.863760000,120.875586667,22.571613333,11.384433333,22.518373333,40.013096667,20.450740000,31.557036667,27.651130000,26.692630000,19.603870000,23.874476667,29.340196667,15.206163333,120.875586667
2019-03-26 15:35:00,281.304546667,119.263626667,20.659923333,9.046620000,20.420603333,38.169603333,18.503156667,29.438546667,27.303976667,26.620750000,19.659436667,25.246020000,29.129866667,17.106043333,119.263626667
2019-03-26 15:30:00,277.292183333,121.188756667,20.846160000,9.447970000,20.481570000,37.971283333,17.722100000,29.286456667,26.994910000,26.253226667,19.957920000,25.007513333,26.373656667,16.949416667,121.188756667
2019-03-26 15:25:00,273.878816667,122.937276667,21.574810000,10.355456667,20.898976667,38.934563333,18.598990000,29.990636667,26.301940000,25.572236667,19.381516667,23.242843333,24.120156667,14.906690000,122.937276667
2019-03-26 15:20:00,310.064873333,123.556100000,26.038696667,15.939096667,26.016393333,38.583453333,18.010163333,29.422640000,26.802646667,26.201086667,20.098526667,30.388350000,30.982246667,21.581573333,123.556100000
